id_parche,descripcion,fecha_aplicacion,id_vulnerabilidad,aplicado_por
1,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2001.",2025-11-05,216,74
2,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2002.",2025-09-22,123,17
3,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2003.",2025-07-18,80,37
4,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2004.",2025-09-24,166,61
5,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2005.",2025-01-16,180,54
6,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2006.",2025-10-10,9,50
7,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2007.",2025-08-17,74,65
8,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2008.",2025-09-15,187,63
9,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2009.",2024-12-29,225,79
10,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2010.",2024-11-19,267,65
11,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2011.",2025-01-03,291,62
12,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2012.",2024-11-17,103,4
13,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2013.",2025-06-09,62,67
14,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2014.",2025-01-13,28,56
15,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2015.",2025-01-04,280,34
16,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2016.",2025-05-11,113,9
17,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2017.",2025-05-24,278,73
18,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2018.",2025-04-04,313,1
19,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2019.",2025-08-31,172,30
20,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2020.",2025-03-06,106,16
21,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2021.",2025-04-08,292,49
22,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2022.",2025-08-18,158,26
23,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2023.",2025-01-18,81,41
24,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2024.",2025-09-14,258,64
25,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2025.",2025-07-25,80,41
26,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2026.",2024-11-11,194,11
27,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2027.",2025-06-21,163,23
28,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2028.",2025-08-07,311,10
29,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2029.",2025-08-31,168,50
30,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2030.",2025-10-08,147,34
31,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2031.",2024-10-27,122,48
32,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2032.",2025-07-25,92,69
33,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2033.",2024-11-08,290,41
34,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2034.",2025-08-17,47,55
35,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2035.",2024-12-06,201,12
36,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2036.",2025-03-08,69,4
37,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2037.",2025-02-04,156,64
38,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2038.",2024-10-10,86,17
39,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2039.",2025-02-18,232,19
40,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2040.",2025-01-31,252,62
41,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2041.",2024-12-16,236,69
42,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2042.",2025-01-21,211,43
43,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2043.",2025-05-08,208,6
44,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2044.",2025-08-06,265,1
45,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2045.",2025-02-05,87,1
46,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2046.",2024-10-18,226,13
47,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2047.",2025-02-18,176,33
48,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2048.",2025-09-18,313,24
49,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2049.",2025-09-06,4,1
50,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2050.",2025-05-25,270,78
51,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2051.",2025-01-31,7,77
52,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2052.",2025-10-25,17,62
53,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2053.",2024-11-17,55,42
54,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2054.",2025-10-05,143,67
55,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2055.",2025-04-02,70,54
56,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2056.",2025-07-23,237,23
57,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2057.",2025-05-20,35,28
58,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2058.",2025-08-03,215,44
59,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2059.",2025-07-16,237,73
60,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2060.",2025-05-15,217,27
61,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2061.",2024-12-05,296,57
62,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2062.",2025-01-19,172,47
63,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2063.",2024-10-20,182,68
64,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2064.",2025-05-07,283,5
65,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2065.",2025-03-03,230,61
66,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2066.",2025-10-08,95,55
67,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2067.",2025-10-12,250,39
68,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2068.",2025-03-13,123,10
69,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2069.",2025-10-01,188,68
70,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2070.",2025-04-29,160,44
71,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2071.",2025-03-18,224,46
72,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2072.",2025-07-11,80,22
73,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2073.",2024-12-18,152,14
74,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2074.",2025-01-08,301,78
75,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2075.",2025-06-29,148,62
76,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2076.",2025-11-05,238,35
77,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2077.",2025-01-23,248,9
78,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2078.",2025-05-15,63,40
79,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2079.",2025-08-21,290,10
80,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2080.",2025-09-03,55,3
81,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2081.",2025-09-14,250,15
82,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2082.",2024-10-22,225,39
83,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2083.",2024-12-09,318,47
84,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2084.",2024-11-25,113,5
85,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2085.",2024-10-21,229,1
86,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2086.",2025-01-18,40,53
87,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2087.",2025-03-12,179,32
88,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2088.",2025-11-11,112,21
89,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2089.",2024-11-13,121,42
90,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2090.",2024-10-12,77,76
91,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2091.",2025-10-14,293,3
92,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2092.",2024-12-19,45,73
93,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2093.",2025-08-18,2,68
94,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2094.",2025-09-13,121,33
95,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2095.",2025-01-24,225,25
96,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2096.",2025-05-11,50,43
97,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2097.",2025-07-17,180,77
98,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2098.",2025-09-12,105,12
99,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2099.",2025-03-14,71,60
100,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2100.",2024-10-09,96,54
101,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2101.",2025-11-01,184,68
102,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2102.",2024-10-27,139,60
103,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2103.",2025-10-22,123,44
104,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2104.",2024-12-11,83,71
105,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2105.",2025-10-07,274,41
106,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2106.",2025-04-26,254,59
107,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2107.",2025-06-11,83,15
108,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2108.",2025-02-02,74,46
109,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2109.",2025-07-02,298,32
110,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2110.",2025-04-21,290,36
111,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2111.",2025-08-15,268,37
112,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2112.",2025-05-14,28,55
113,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2113.",2024-11-27,182,30
114,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2114.",2025-06-19,199,62
115,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2115.",2024-10-20,13,69
116,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2116.",2024-10-16,22,10
117,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2117.",2025-05-07,173,77
118,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2118.",2025-09-25,206,55
119,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2119.",2025-04-09,303,34
120,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2120.",2025-04-02,129,51
121,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2121.",2025-11-04,126,12
122,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2122.",2024-12-15,302,40
123,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2123.",2025-03-28,192,31
124,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2124.",2025-03-24,126,45
125,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2125.",2024-10-12,273,33
126,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2126.",2025-09-12,164,54
127,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2127.",2025-06-25,227,15
128,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2128.",2024-10-28,9,75
129,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2129.",2025-03-18,39,7
130,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2130.",2024-12-31,110,60
131,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2131.",2024-11-27,156,74
132,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2132.",2025-06-20,221,49
133,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2133.",2025-08-13,36,19
134,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2134.",2025-02-07,77,45
135,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2135.",2025-10-08,89,61
136,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2136.",2024-11-03,265,19
137,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2137.",2024-12-07,280,32
138,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2138.",2025-06-24,128,57
139,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2139.",2024-12-22,78,76
140,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2140.",2025-05-15,99,29
141,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2141.",2024-12-16,25,55
142,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2142.",2025-09-18,209,37
143,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2143.",2025-05-20,109,37
144,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2144.",2025-08-13,272,29
145,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2145.",2025-04-09,74,5
146,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2146.",2025-08-26,51,38
147,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2147.",2024-10-21,21,79
148,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2148.",2025-04-05,24,41
149,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2149.",2025-08-25,299,20
150,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2150.",2025-10-18,224,64
151,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2151.",2025-01-01,62,59
152,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2152.",2025-01-16,180,25
153,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2153.",2024-12-26,44,20
154,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2154.",2025-03-17,299,8
155,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2155.",2024-10-26,186,65
156,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2156.",2025-02-09,168,41
157,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2157.",2025-06-12,73,39
158,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2158.",2025-02-26,169,41
159,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2159.",2025-04-01,220,27
160,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2160.",2025-10-03,169,69
